file_name,tract_name,color,superficial_network,striatal_network,projection_network,commissural_network,cerebellar_network,association_network,language_network,attention_network,executive_network,socialemotional_network,somatomotor_network,memory_network
T_AF_left.vtp,arcuate fasciculus (left),#ff0029,,,,,,1,1,,,1,,
T_AF_right.vtp,arcuate fasciculus (right),#ff0029,,,,,,1,,,,,,
T_CB_left.vtp,cingulum bundle (left),#ffa400,,,,,,1,,1,1,,,
T_CB_right.vtp,cingulum bundle (right),#ffa400,,,,,,1,,1,1,,,
T_EmC_left.vtp,extreme capsule (left),#6000ff,,,,,,1,1,,,,,
T_EmC_right.vtp,extreme capsule (right),#6000ff,,,,,,1,,,,,,
T_ILF_left.vtp,inferior longitudinal fasciculus (left),#00ff05,,,,,,1,1,1,,,,
T_ILF_right.vtp,inferior longitudinal fasciculus (right),#00ff05,,,,,,1,,1,,,,
T_IOFF_left.vtp,inferior occipito-frontal fasciculus (left),#00fffd,,,,,,1,1,,,,,
T_IOFF_right.vtp,inferior occipito-frontal fasciculus (right),#00fffd,,,,,,1,,,,,,
T_MdLF_left.vtp,middle longitudinal fasciculus (left),#00aaff,,,,,,1,,,,,,
T_MdLF_right.vtp,middle longitudinal fasciculus (right),#00aaff,,,,,,1,1,,,,,
T_SLF-III_left.vtp,superior longitudinal fasciculus III (left),#c200ff,,,,,,1,1,1,,,,
T_SLF-III_right.vtp,superior longitudinal fasciculus III (right),#c200ff,,,,,,1,,1,,1,,
T_SLF-II_left.vtp,superior longitudinal fasciculus II (left),#ffea00,,#6000ff,,,,1,1,1,,,,
T_SLF-II_right.vtp,superior longitudinal fasciculus II (right),#ffea00,,#6000ff,,,,1,,1,,,,
T_SLF-I_left.vtp,superior longitudinal fasciculus I (left),#0012ff,,,,,,1,,1,,,,
T_SLF-I_right.vtp,superior longitudinal fasciculus I (right),#0012ff,,,,,,1,,1,,,,
T_UF_left.vtp,uncinate fasciculus (left),#ff00bf,,,,,,1,,,,,,
T_UF_right.vtp,uncinate fasciculus (right),#ff00bf,,,,,,1,1,,,1,,
T_CPC.vtp,cortico-ponto-cerebellar,#460d5f,,,,,1,,,,,,,
T_ICP_left.vtp,inferior cerebellar peduncle (left),#3b518a,,,,,1,,,,,,,
T_ICP_right.vtp,inferior cerebellar peduncle (right),#3b518a,,,,,1,,,,,,,
T_Intra-CBLM-I&P_left.vtp,intracerebellar input and Purkinje tract (left),#1c978a,,,,,1,,,,,,,
T_Intra-CBLM-I&P_right.vtp,intracerebellar input and Purkinje tract (right),#1c978a,,,,,1,,,,,,,
T_Intra-CBLM-PaT_left.vtp,intracerebellar parallel tract (left),#82d34c,,,,,1,,,,,,,
T_Intra-CBLM-PaT_right.vtp,intracerebellar parallel tract (right),#82d34c,,,,,1,,,,,,,
T_MCP.vtp,middle cerebellar peduncle,#efe51b,,,,,1,,,,,,,
T_CC1.vtp,corpus callosum I,#241155,,,,1,,,,,,,,
T_CC2.vtp,corpus callosum II,#58137c,,,,1,,,,,,,,
T_CC3.vtp,corpus callosum III,#9a2c7f,,,,1,,,,,,,,
T_CC4.vtp,corpus callosum IV,#da4669,,,,1,,,,,,,,
T_CC5.vtp,corpus callosum V,#fa825e,,,,1,,,,,,,,
T_CC6.vtp,corpus callosum VI,#fec589,,,,1,,,,,,,,
